Data size: 100
starting GOLDEN
l1 3819.66	f1 -0.000132947	l2 6180.34	f2 -8.21655e-05	0
l1 2360.68	f1 -0.000215112	l2 3819.66	f2 -0.000132947	0
l1 1458.98	f1 -0.000348058	l2 2360.68	f2 -0.000215112	0
l1 901.7	f1 -0.00056317	l2 1458.98	f2 -0.000348058	0
l1 557.281	f1 -0.000911228	l2 901.7	f2 -0.00056317	0
l1 344.419	f1 -0.00147439	l2 557.281	f2 -0.000911228	0
l1 212.862	f1 -0.0023856	l2 344.419	f2 -0.00147439	0
l1 131.556	f1 -0.00385991	l2 212.863	f2 -0.0023856	0
l1 81.3063	f1 -0.00624515	l2 131.556	f2 -0.00385991	0
l1 50.2501	f1 -0.0101036	l2 81.3063	f2 -0.00624515	0
l1 31.0563	f1 -0.0163424	l2 50.2501	f2 -0.0101036	0
l1 19.1939	f1 -0.0264191	l2 31.0563	f2 -0.0163424	0
l1 11.8625	f1 -0.0426483	l2 19.1939	f2 -0.0264191	0
l1 7.33148	f1 -0.0685926	l2 11.8625	f2 -0.0426483	0
l1 4.53114	f1 -0.109277	l2 7.33148	f2 -0.0685926	0
l1 2.80044	f1 -0.17003	l2 4.53114	f2 -0.109277	0
l1 1.7308	f1 -0.250625	l2 2.80044	f2 -0.17003	0
l1 1.06973	f1 -0.333513	l2 1.7308	f2 -0.250625	0
l1 0.66117	f1 -0.389079	l2 1.06973	f2 -0.333513	0
l1 0.408664	f1 -0.410264	l2 0.66117	f2 -0.389079	0
l1 0.252606	f1 -0.412513	l2 0.408664	f2 -0.410264	0
l1 0.156157	f1 -0.413811	l2 0.252606	f2 -0.412513	0
l1 0.0965488	f1 -0.408256	l2 0.156157	f2 -0.413811	0
l1 0.156157	f1 -0.413811	l2 0.192998	f2 -0.41307	0
l1 0.133389	f1 -0.413605	l2 0.156157	f2 -0.413811	0
l1 0.156157	f1 -0.413811	l2 0.170229	f2 -0.413572	0
l1 0.147461	f1 -0.413856	l2 0.156157	f2 -0.413811	0
l1 0.142086	f1 -0.413818	l2 0.147461	f2 -0.413856	0
l1 0.147461	f1 -0.413856	l2 0.150783	f2 -0.413852	0
l1 0.145408	f1 -0.413848	l2 0.147461	f2 -0.413856	0
l1 0.147461	f1 -0.413856	l2 0.14873	f2 -0.413857	0
l1 0.14873	f1 -0.413856	l2 0.149514	f2 -0.413856	0
l1 0.148245	f1 -0.413856	l2 0.14873	f2 -0.413856	0
l1 0.14873	f1 -0.413857	l2 0.149029	f2 -0.413856	0
l1 3819.66	f1 -0.000132947	l2 6180.34	f2 -8.21655e-05	1
l1 2360.68	f1 -0.000215112	l2 3819.66	f2 -0.000132947	1
l1 1458.98	f1 -0.000348059	l2 2360.68	f2 -0.000215112	1
l1 901.7	f1 -0.00056317	l2 1458.98	f2 -0.000348059	1
l1 557.281	f1 -0.000911229	l2 901.7	f2 -0.00056317	1
l1 344.419	f1 -0.0014744	l2 557.281	f2 -0.000911229	1
l1 212.862	f1 -0.00238561	l2 344.419	f2 -0.0014744	1
l1 131.556	f1 -0.00385996	l2 212.863	f2 -0.00238561	1
l1 81.3063	f1 -0.00624538	l2 131.556	f2 -0.00385996	1
l1 50.2501	f1 -0.0101045	l2 81.3063	f2 -0.00624538	1
l1 31.0563	f1 -0.0163464	l2 50.2501	f2 -0.0101045	1
l1 19.1939	f1 -0.0264361	l2 31.0563	f2 -0.0163464	1
l1 11.8625	f1 -0.04272	l2 19.1939	f2 -0.0264361	1
l1 7.33148	f1 -0.068893	l2 11.8625	f2 -0.04272	1
l1 4.53114	f1 -0.110515	l2 7.33148	f2 -0.068893	1
l1 2.80044	f1 -0.174922	l2 4.53114	f2 -0.110515	1
l1 1.7308	f1 -0.268066	l2 2.80044	f2 -0.174922	1
l1 1.06973	f1 -0.38341	l2 1.7308	f2 -0.268066	1
l1 0.66117	f1 -0.488693	l2 1.06973	f2 -0.38341	1
l1 0.408664	f1 -0.548072	l2 0.66117	f2 -0.488693	1
l1 0.252606	f1 -0.56517	l2 0.408664	f2 -0.548072	1
l1 0.156157	f1 -0.565063	l2 0.252606	f2 -0.56517	1
l1 0.252606	f1 -0.56517	l2 0.312215	f2 -0.561166	1
l1 0.215766	f1 -0.566033	l2 0.252606	f2 -0.56517	1
l1 0.192998	f1 -0.565993	l2 0.215766	f2 -0.566033	1
l1 0.215766	f1 -0.566033	l2 0.229838	f2 -0.565844	1
l1 0.207069	f1 -0.566067	l2 0.215766	f2 -0.566033	1
l1 0.201694	f1 -0.566057	l2 0.207069	f2 -0.566067	1
l1 0.207069	f1 -0.566067	l2 0.210391	f2 -0.566061	1
l1 0.205016	f1 -0.566066	l2 0.207069	f2 -0.566067	1
l1 0.207069	f1 -0.566067	l2 0.208338	f2 -0.566066	1
l1 0.206285	f1 -0.566067	l2 0.207069	f2 -0.566067	1
l1 0.207069	f1 -0.566067	l2 0.207554	f2 -0.566066	1
l1 0.20677	f1 -0.566067	l2 0.207069	f2 -0.566067	1
l1 3819.66	f1 -0.000132947	l2 6180.34	f2 -8.21655e-05	2
l1 2360.68	f1 -0.000215112	l2 3819.66	f2 -0.000132947	2
l1 1458.98	f1 -0.000348058	l2 2360.68	f2 -0.000215112	2
l1 901.7	f1 -0.000563169	l2 1458.98	f2 -0.000348058	2
l1 557.281	f1 -0.000911221	l2 901.7	f2 -0.000563169	2
l1 344.419	f1 -0.00147437	l2 557.281	f2 -0.000911222	2
l1 212.862	f1 -0.00238549	l2 344.419	f2 -0.00147437	2
l1 131.556	f1 -0.00385943	l2 212.863	f2 -0.00238549	2
l1 81.3063	f1 -0.00624312	l2 131.556	f2 -0.00385943	2
l1 50.2501	f1 -0.0100949	l2 81.3063	f2 -0.00624312	2
l1 31.0563	f1 -0.0163059	l2 50.2501	f2 -0.0100949	2
l1 19.1939	f1 -0.0262652	l2 31.0563	f2 -0.0163059	2
l1 11.8625	f1 -0.0420045	l2 19.1939	f2 -0.0262652	2
l1 7.33148	f1 -0.0659527	l2 11.8625	f2 -0.0420045	2
l1 4.53114	f1 -0.0989957	l2 7.33148	f2 -0.0659527	2
l1 2.80044	f1 -0.134825	l2 4.53114	f2 -0.0989957	2
l1 1.7308	f1 -0.160982	l2 2.80044	f2 -0.134825	2
l1 1.06973	f1 -0.202063	l2 1.7308	f2 -0.160982	2
l1 0.66117	f1 -0.291148	l2 1.06973	f2 -0.202063	2
l1 0.408664	f1 -0.388058	l2 0.66117	f2 -0.291148	2
l1 0.252606	f1 -0.46935	l2 0.408664	f2 -0.388058	2
l1 0.156157	f1 -0.519745	l2 0.252606	f2 -0.46935	2
l1 0.0965488	f1 -0.528857	l2 0.156157	f2 -0.519745	2
l1 0.0597086	f1 -0.507584	l2 0.0965488	f2 -0.528857	2
l1 0.0965488	f1 -0.528857	l2 0.119317	f2 -0.529957	2
l1 0.119317	f1 -0.529957	l2 0.133389	f2 -0.527392	2
l1 0.110621	f1 -0.530414	l2 0.119317	f2 -0.529957	2
l1 0.105246	f1 -0.530182	l2 0.110621	f2 -0.530414	2
l1 0.110621	f1 -0.530414	l2 0.113942	f2 -0.530354	2
l1 0.108567	f1 -0.530375	l2 0.110621	f2 -0.530414	2
l1 0.110621	f1 -0.530414	l2 0.111889	f2 -0.530409	2
l1 0.109836	f1 -0.530406	l2 0.110621	f2 -0.530414	2
l1 0.110621	f1 -0.530414	l2 0.111105	f2 -0.530415	2
l1 0.111105	f1 -0.530415	l2 0.111405	f2 -0.530413	2
l1 3819.66	f1 -0.000132947	l2 6180.34	f2 -8.21655e-05	3
l1 2360.68	f1 -0.000215112	l2 3819.66	f2 -0.000132947	3
l1 1458.98	f1 -0.000348059	l2 2360.68	f2 -0.000215112	3
l1 901.7	f1 -0.00056317	l2 1458.98	f2 -0.000348058	3
l1 557.281	f1 -0.000911228	l2 901.7	f2 -0.00056317	3
l1 344.419	f1 -0.00147439	l2 557.281	f2 -0.000911228	3
l1 212.862	f1 -0.00238561	l2 344.419	f2 -0.00147439	3
l1 131.556	f1 -0.00385993	l2 212.863	f2 -0.00238561	3
l1 81.3063	f1 -0.00624526	l2 131.556	f2 -0.00385993	3
l1 50.2501	f1 -0.010104	l2 81.3063	f2 -0.00624526	3
l1 31.0563	f1 -0.0163443	l2 50.2501	f2 -0.010104	3
l1 19.1939	f1 -0.0264274	l2 31.0563	f2 -0.0163443	3
l1 11.8625	f1 -0.0426834	l2 19.1939	f2 -0.0264274	3
l1 7.33148	f1 -0.068739	l2 11.8625	f2 -0.0426834	3
l1 4.53114	f1 -0.10987	l2 7.33148	f2 -0.068739	3
l1 2.80044	f1 -0.172278	l2 4.53114	f2 -0.10987	3
l1 1.7308	f1 -0.257805	l2 2.80044	f2 -0.172278	3
l1 1.06973	f1 -0.349233	l2 1.7308	f2 -0.257805	3
l1 0.66117	f1 -0.414404	l2 1.06973	f2 -0.349233	3
l1 0.408664	f1 -0.507858	l2 0.66117	f2 -0.414404	3
l1 0.252606	f1 -0.691023	l2 0.408664	f2 -0.507858	3
l1 0.156157	f1 -0.85908	l2 0.252606	f2 -0.691023	3
l1 0.0965488	f1 -0.985415	l2 0.156157	f2 -0.859081	3
l1 0.0597086	f1 -1.12698	l2 0.0965488	f2 -0.985415	3
l1 0.0369402	f1 -1.5474	l2 0.0597086	f2 -1.12698	3
l1 0.0228685	f1 -2.64088	l2 0.0369402	f2 -1.5474	3
l1 0.0141717	f1 -4.28489	l2 0.0228685	f2 -2.64088	3
l1 0.00879678	f1 -6.90302	l2 0.0141717	f2 -4.28489	3
l1 0.00547491	f1 -11.0914	l2 0.00879678	f2 -6.90302	3
l1 0.00342188	f1 -17.7459	l2 0.00547491	f2 -11.0914	3
l1 0.00215303	f1 -28.2041	l2 0.00342188	f2 -17.7459	3
l1 0.00136884	f1 -44.3618	l2 0.00215303	f2 -28.2041	3
l1 0.000884189	f1 -68.6781	l2 0.00136884	f2 -44.3618	3
l1 0.000584655	f1 -103.864	l2 0.000884189	f2 -68.6781	3
finished GOLDEN
h	0.148879
h	0.20692
h	0.111255
h	0.000734422
STOP 10323	3.40282e+38	10323	3.40282e+38
10323	10323	10308	14.9551
10323	10308	10302.8	5.24902
kernelDistance 4950
golden D
l1 3819.66	f1 -0.000134994	l2 6180.34	f2 -8.34311e-05	0
l1 2360.68	f1 -0.000218425	l2 3819.66	f2 -0.000134994	0
l1 1458.98	f1 -0.000353419	l2 2360.68	f2 -0.000218425	0
l1 901.7	f1 -0.000571845	l2 1458.98	f2 -0.000353419	0
l1 557.281	f1 -0.000925257	l2 901.7	f2 -0.000571845	0
l1 344.419	f1 -0.00149707	l2 557.281	f2 -0.000925257	0
l1 212.862	f1 -0.00242224	l2 344.419	f2 -0.00149707	0
l1 131.556	f1 -0.00391895	l2 212.863	f2 -0.00242224	0
l1 81.3063	f1 -0.00633965	l2 131.556	f2 -0.00391895	0
l1 50.2501	f1 -0.0102521	l2 81.3063	f2 -0.00633965	0
l1 31.0563	f1 -0.0165643	l2 50.2501	f2 -0.0102521	0
l1 19.1939	f1 -0.0267006	l2 31.0563	f2 -0.0165643	0
l1 11.8625	f1 -0.0427806	l2 19.1939	f2 -0.0267006	0
l1 7.33148	f1 -0.0674937	l2 11.8625	f2 -0.0427806	0
l1 4.53114	f1 -0.102513	l2 7.33148	f2 -0.0674937	0
l1 2.80044	f1 -0.143185	l2 4.53114	f2 -0.102513	0
l1 1.7308	f1 -0.175082	l2 2.80044	f2 -0.143185	0
l1 1.06973	f1 -0.201328	l2 1.7308	f2 -0.175082	0
l1 0.66117	f1 -0.243223	l2 1.06973	f2 -0.201328	0
l1 0.408664	f1 -0.27807	l2 0.66117	f2 -0.243223	0
l1 0.252606	f1 -0.294612	l2 0.408664	f2 -0.27807	0
l1 0.156157	f1 -0.300686	l2 0.252606	f2 -0.294612	0
l1 0.0965488	f1 -0.302285	l2 0.156157	f2 -0.300686	0
l1 0.0597086	f1 -0.302338	l2 0.0965488	f2 -0.302285	0
l1 0.0369402	f1 -0.302014	l2 0.0597086	f2 -0.302338	0
l1 0.0597086	f1 -0.302338	l2 0.0737803	f2 -0.302412	0
l1 0.0737803	f1 -0.302412	l2 0.0824771	f2 -0.302398	0
l1 0.0684054	f1 -0.302398	l2 0.0737803	f2 -0.302412	0
l1 0.0737803	f1 -0.302412	l2 0.0771022	f2 -0.302412	0
